Dimension_1,Dimension_2
47.8978,-17.97841
48.774082,-18.28108
48.283634,-18.187193
49.86381,-17.63492
47.440315,-17.855305
47.725586,-17.914236
47.345776,-17.832405
47.423748,-17.8263
33.318203,-18.146202
30.734724,-43.778053
28.952417,-44.5005
30.55586,-43.88614
29.224169,-44.463737
28.962572,-44.5002
28.854698,-44.51164
28.934988,-44.506035
47.271263,-91.30065
49.140686,-95.01175
47.44843,-90.82175
48.532185,-94.97283
47.505272,-92.12045
48.7359,-94.85657
48.62431,-94.745865
48.613415,-94.81406
-49.52746,-76.74524
-37.40962,-86.18433
-39.02768,-85.16947
-35.7381,-86.66877
-35.463272,-86.75127
-49.595737,-76.710526
-49.499542,-76.73498
-49.507545,-76.77155
-70.54087,24.1145
-80.71023,33.123867
-80.75642,33.332985
-80.74892,32.872093
-70.541664,24.124016
-80.726654,32.840126
-80.692635,33.214905
-80.77879,33.122093
27.234226,-60.81021
43.208687,-67.16491
43.24408,-67.1899
44.56523,-66.62561
41.739292,-64.12763
27.338387,-60.655735
45.28063,-67.872795
44.755516,-66.85949
40.28038,-109.748726
40.439774,-109.61355
40.290207,-109.69915
27.663895,-62.49755
41.14599,-111.982056
41.25019,-111.98839
40.267895,-109.12789
40.268085,-109.32896
-29.200241,60.521034
-27.026928,63.590828
-27.058287,63.59609
-28.1347,63.222393
-27.881067,63.014545
-27.855259,63.1889
-26.815315,63.805553
-27.209324,63.498753
63.000744,-79.8749
61.397892,-78.963806
63.407734,-80.13791
61.97374,-79.24948
61.75114,-79.04505
61.236233,-78.85649
62.324783,-79.45431
61.372562,-78.957306
-7.4293303,-52.019806
-7.9458046,-50.71247
-7.2290406,-51.16913
-7.311868,-52.04931
24.01593,-61.228962
-8.19496,-52.010986
-8.326066,-51.989338
-4.871757,-52.06066
2.286733,30.906397
3.5434523,31.719128
2.2484877,30.892326
8.798385,26.808622
3.6661632,31.641418
3.3729713,31.643724
2.4005272,30.97587
3.5302522,31.718517
33.85225,-82.4053
29.429722,-83.543076
33.028698,-83.003746
33.24672,-82.847855
33.027668,-83.00124
29.737724,-83.49093
34.12378,-82.22147
33.398346,-82.75737
-67.01174,-20.696186
-67.55135,-19.822693
-67.87886,-19.389423
-67.140236,-20.214647
-68.60851,-17.937542
-66.81307,-20.85723
-68.909454,-17.928064
-68.199234,-18.933481
3.9558496,75.13199
5.6714444,75.121284
5.6401143,75.10392
4.1952233,75.03967
5.65442,75.10339
3.9787097,75.11751
5.6492167,75.10207
3.98811,75.11171
-22.105537,24.475187
9.451763,19.56822
9.207291,20.048365
-22.02648,24.453823
9.391515,19.66674
-21.936893,24.439657
9.526397,19.558218
-22.19568,24.50731
-69.64935,17.740032
-68.16966,22.374699
-69.83264,18.208246
-70.217476,20.680222
-69.67126,19.196552
-70.21882,20.700409
-69.62325,19.019243
-70.239296,20.949892
-98.83447,-1.6974331
-99.225075,-1.7609273
-88.37187,-2.8460438
-99.27919,-1.6963167
-98.1871,-1.727175
-88.394554,-2.9248712
-99.22758,-1.6884397
-88.365295,-2.867997
10.397995,11.60105
10.5439825,11.592151
10.542321,11.547869
4.8469877,9.805717
7.5836067,11.062369
10.668879,11.640399
11.074711,11.103735
10.876904,13.2754755
-92.88771,-12.36927
-93.14808,-12.097989
-92.16816,-10.223531
-92.95046,-12.316815
-92.13051,-9.947648
-91.64764,-9.060092
-93.05929,-12.101317
-92.174324,-10.275642
79.34497,-18.211264
76.04296,-19.031013
26.289108,36.90121
79.40863,-18.179386
79.47041,-18.168375
79.67786,-18.168148
79.709236,-18.160347
79.85644,-18.20682
5.117822,19.596224
5.1538925,19.576418
-0.62195337,19.420637
-0.66531825,19.402853
-0.98399436,18.965557
-0.9667698,19.033278
5.0392866,19.595572
4.899643,19.642931
107.23559,-13.235797
105.793816,-12.2984295
107.20006,-13.290427
107.2743,-13.166351
105.8027,-12.341627
107.348495,-13.226601
107.0986,-13.305972
105.394485,-11.829333
78.27332,-61.54525
78.22454,-61.50683
71.22198,-77.14683
78.23451,-61.452507
78.23649,-61.508747
78.3154,-61.51158
71.17442,-77.2969
71.209435,-77.07421
-48.19278,23.446388
-50.3898,12.933075
-47.518593,24.641806
-48.37723,23.530363
-50.36134,12.967515
-50.403675,12.960264
-48.048748,23.380762
-48.36049,23.483519
91.37259,38.136086
91.61744,38.15528
91.543434,38.182983
91.39132,38.131416
91.5345,38.20629
91.44472,38.178387
90.65707,33.19184
90.64663,33.175602
-9.308858,-17.428347
-9.317602,-21.57101
